Name,Type,Population,Class,CountySeat
Hopkins,city,472,city fourth class,Nodaway
Horine,city,657,census designated place,Jefferson
Hornersville,city,537,city fourth class,Dunklin
Houston,city,2079,city fourth class,Texas
Houston Lake,city,229,city fourth class,Platte
Houstonia,city,198,city fourth class,Pettis
Howard,county,10151,county third class without township,Fayette
Howardville,city,277,city fourth class,New Madrid
Howell,county,39750,county third class without township,West Plains
Hughesville,city,150,village,Pettis
Humansville,city,907,city fourth class,Polk
Hume,city,283,city fourth class,Bates
Humphreys,city,89,village,Sullivan
Hunnewell,city,139,city fourth class,Shelby
Hunter,city,95,census designated place,Carter
Huntleigh,city,361,city fourth class,St. Louis
Huntsdale,city,29,village,Boone
Huntsville,city,1376,city third class,Randolph
Hurdland,city,155,city fourth class,Knox
Hurley,city,176,city fourth class,Stone
Iantha,city,95,census designated place,Barton
Iatan,city,39,village,Platte
Iberia,city,703,city fourth class,Miller
Imperial,city,4407,census designated place,Jefferson
Independence,city,123011,city home rule,Jackson
Indian Lake,city,689,census designated place,Crawford
Indian Point,city,550,village,Stone
Innsbrook,city,596,village,Warren
Ionia,city,71,village,"Benton, Pettis"
Irena,city,14,village,Worth
Iron,county,9537,county third class without township,Ironton
Iron Mountain Lake,city,640,city fourth class,St. Francois
Irondale,city,368,city fourth class,Washington
Ironton,city,1475,city fourth class,Iron
Irwin,city,47,census designated place,Barton
Jackson,city,15481,city fourth class,Cape Girardeau
Jackson,county,717204,county charter,Independence
Jacksonville,city,122,village,Randolph
Jameson,city,73,village,Daviess
Jamesport,city,559,city fourth class,Daviess
Jamestown,city,330,city fourth class,Moniteau
Jane,city,359,village,McDonald
Jasper,city,906,city fourth class,Jasper
Jasper,county,122761,county first class,Carthage
Jefferson,county,226739,county charter,Hillsboro
Jefferson City,city,43228,city home rule,"Callaway, Cole"
Jennings,city,12895,city third class,St. Louis
Jerico Springs,city,160,village,Cedar
Johnson,county,54013,county fourth class,Warrensburg
Jonesburg,city,726,city fourth class,Montgomery
Joplin,city,51762,city home rule,"Jasper, Newton"
Josephville,city,512,village,St. Charles
